review_id,restaurant_id,restaurant_name,review_text,sentiment,mentioned_dishes,positive_points,negative_points,occasion_hint,price_comment,waiting_time_comment,source_type,source_url,created_at,review_weight,notes
rev_r001_01,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,用餐者認為火力可以請店員調整，但火候有時不穩；烤盤洞較大，食材容易掉落。小菜選擇偏少，肉品吃到後面容易膩，服務人員空閒時滑手機也影響觀感。整體屬於內用午餐，人均約400到600元。,negative,meat,adjustable fire|indoor dining,unstable heat|food may fall through grill|limited side dishes|meat can feel greasy|service attentiveness issue,solo meal|casual dinner|friends gathering|budget dinner|meat craving,NT$400-600,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r001_02,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,長期顧客表示過去多次用餐體驗良好，但近期兩次用餐明顯變差，主要問題集中在烤盤與火力設備。一次火力過大導致肉容易燒焦，另一次烤盤幾乎不熱，薄切五花也難以烤熟。顧客認為不是肉品品質問題，而是設備維護需要改善。,negative,thin sliced pork belly|meat,previously stable experience|repeat customer,unstable heat|grill too hot|grill not hot enough|meat hard to cook|equipment maintenance issue,solo meal|casual dinner|budget yakiniku,NT$400-600,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r001_03,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,顧客反映烤盤火候過小，薄切牛五花也需要烤很久，雞肉與松阪豬更耗時；松阪豬切得厚且有硬筋，口感不佳。服務方面，續小菜被收走後等待約20分鐘才送回。清潔也被指出有問題，包括地板黏與置物籃內出現蟑螂。,negative,thin sliced beef belly|chicken|matsusaka pork,quiet enough for conversation,weak grill heat|slow cooking|tough meat|slow side dish refill|cleanliness issue|storage basket hygiene issue,casual dinner|friends gathering,NT$400-600,long cooking time,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r001_04,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,顧客認為食物表現普通，肉塊大小不一，烤盤溫度不足，烤肉時間很長。服務體驗不佳，上菜速度慢，飯與飲料需要提醒才會送上；顧客也認為在這種服務下收取10%服務費不合理。,negative,meat|rice|drinks,none,average food|inconsistent meat cutting|weak grill heat|slow cooking|slow service|service charge concern,casual dinner|patient diners only,NT$400-600,slow serving speed,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r001_05,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,顧客提到週三與週五晚上有399吃到飽方案，價格有吸引力。店內人多，座位是高腳椅大桌，較擁擠且不太舒適；店員人手不足，換烤網需要主動提醒，白飯也因碗還在清洗而延遲。炭火偏小，雞肉需要烤很久。不過特製辣椒粉被認為很提味，有椒麻香氣。,mixed,chicken|rice|special chili powder,all-you-can-eat deal|spicy seasoning|good flavor,crowded|uncomfortable seating|limited staff|slow rice serving|weak charcoal heat|slow cooking,budget dinner|friends gathering|casual yakiniku,NT$400-600,busy at night,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_01,r002,築本屋公館店,顧客認為這是台大學生很熟悉的平價店，用餐時間通常人很多。牛丼是安全牌，牛肉份量不算少，醬汁甜鹹順口，洋蔥入味，整體不驚艷但吃得飽。醬燒牛五花定食下飯，腰內豬排定食肉質嫩、外皮酥脆，適合怕豬排太硬的人。,positive,牛丼|醬燒牛五花定食|腰內豬排定食,student-friendly|safe choice|large portion|filling meal|crispy tonkatsu|tender pork|good value,crowded during meal time,solo meal|student meal|friends meal|casual lunch,NT$100-200,busy during meal time,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_02,r002,築本屋公館店,顧客認為餐點平價且份量充足，餓的時候能吃得很滿足。豬排和唐揚雞等炸物調味較重，炸皮偏厚，吃到後面可能會膩，但整體口味仍然好吃。白飯和湯表現不錯，是住附近會常常回訪的店。,positive,豬排|唐揚雞|白飯|湯,cheap|large portion|filling meal|good seasoning|good rice|good soup|repeatable local spot,fried food can feel greasy|thick batter|heavy flavor,solo meal|student meal|casual dinner|friends meal,NT$200-400,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_03,r002,築本屋公館店,顧客稱讚餐點份量足，能吃得很飽，豬排麵衣酥脆，白飯與高麗菜絲可以續。店內播放80年代台灣流行歌，帶來有記憶點的用餐氣氛。,positive,豬排|白飯|高麗菜絲,large portion|crispy tonkatsu|refillable rice|refillable cabbage|nostalgic music|filling meal,none,solo meal|student meal|casual lunch|casual dinner,reasonable,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_04,r002,築本屋公館店,顧客認為這是平價豬排飯選擇，定食可無限續飯與高麗菜絲。腰內豬排外觀看起來普通，但吃起來酥脆好吃；豬排醬偏糖醋風味，搭配方式特別。店內沒有飲料，飯和水可自助取用，續高麗菜需找店員。,positive,腰內豬排|豬排飯|白飯|高麗菜絲,cheap|refillable rice|refillable cabbage|crispy tonkatsu|self-service water|good value,no drinks|noisy but conversational,solo meal|student meal|casual lunch|friends meal,NT$100-200,no wait,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_05,r002,築本屋公館店,顧客提到晚上6點20分唐揚雞已售完，且服務人員沒有事先告知。餐廳空間不大，但餐點好吃，飯和菜都可以續，肉品不會過油或過乾。整體餐點表現佳，但服務與空間仍有改善空間。,mixed,唐揚雞|白飯|高麗菜,good food|refillable rice|refillable cabbage|meat not too oily|meat not too dry,popular item sold out|service communication issue|small space,solo meal|friends meal|casual dinner|student meal,NT$200-400,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r003_01,r003,想聚 Mr.Jardeng,顧客認為餐點外觀有特色，維納斯的蛋生很上相但蛋是冷的，建議攪拌後再吃。豬排表現不錯，口感酥脆，起司醬也加分；巧克力口味舒芙蕾還不錯。但炸雞偏乾，珍珠奶茶口味舒芙蕾的鹹奶油味過重，蓋過奶茶味。整體氣氛佳，但部分餐點表現不穩。,mixed,維納斯的蛋生|炸雞|豬排|起司醬|舒芙蕾|珍珠奶茶舒芙蕾|巧克力舒芙蕾,photogenic plating|crispy pork cutlet|good cheese sauce|soft souffle|good atmosphere,dry fried chicken|cold egg dish|souffle cream too salty|flavor inconsistency,lunch|date|friends gathering|photo-friendly meal,NT$600-800,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r003_02,r003,想聚 Mr.Jardeng,顧客點了黑白大廚雙人套餐，認為價格偏高，但每道餐點都有特色。拔絲麻辣豆腐與墨魚燉飯被特別稱讚，適合喜歡嘗試創意料理的人。,positive,黑白大廚雙人套餐|拔絲麻辣豆腐|墨魚燉飯,creative dishes|unique menu|good for adventurous eaters|good flavor|good atmosphere|friendly service,price slightly high,date|friends gathering|casual dinner|special meal,NT$400-600,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r003_03,r003,想聚 Mr.Jardeng,顧客認為餐點份量多，整體大致美味，並且特別提到這裡適合吃完後玩桌遊。店內氣氛輕鬆，孩子也玩得開心，是適合多人聚餐或家庭聚會的餐廳。,positive,臭豆腐義大利麵,large portion|good food|relaxed atmosphere|board-game friendly|family-friendly|group-friendly,none,family gathering|friends gathering|board game meal|casual lunch,NT$400-600,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r003_04,r003,想聚 Mr.Jardeng,顧客稱讚店內裝潢溫馨、氣氛放鬆，適合朋友聚會或家庭聚餐。價格對學生也算友善，服務親切，還有當月壽星小福利。餐點從擺盤到口味都令人滿意，整體值得再訪。,positive,birthday perk,cozy atmosphere|relaxing vibe|group-friendly|family-friendly|student-friendly|friendly service|birthday perk|good plating|worth revisiting,none,friends gathering|family gathering|birthday meal|casual lunch|student gathering,NT$400-600,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r003_05,r003,想聚 Mr.Jardeng,顧客與朋友午餐聚會時被菜單命名吸引，實際用餐後對餐點有驚喜感。松露義大利麵香氣濃郁令人印象深刻，維納斯的蛋生外觀拍照效果好，但味道較普通。整體餐點口味不錯、拍照出彩，價格也有吸引力，願意二訪。,positive,松露義大利麵|維納斯的蛋生,creative menu|strong truffle flavor|photogenic dish|good flavor|good for photos|good value|worth revisiting,some dishes look better than taste,friends gathering|casual lunch|photo-friendly meal|date,good value,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r004_01,r004,Second Floor 貳樓公館店,顧客兩年後再訪，認為餐點品質明顯下降。義大利麵表現不佳，南蠻雞炸雞口感濕軟，醬汁層次不足，海鮮麵也偏乾。雖然服務與氣氛仍有一定水準，且不需等候，但餐點本身令人失望。,negative,義大利麵|南蠻雞|海鮮麵,good service|good atmosphere|no wait,pasta quality declined|fried chicken too soggy|sauce lacks depth|seafood pasta too dry|food quality inconsistent,casual lunch,NT$600-800,no wait,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r004_02,r004,Second Floor 貳樓公館店,顧客不推薦炸物，但特別稱讚青醬義大利麵，認為非常好吃，蝦子也新鮮。假日建議先訂位，現場候位可能至少一小時。店內採線上掃碼點餐，支援多種支付方式，適合多人聚餐。,positive,青醬義大利麵|蝦子|炸物,good pesto pasta|fresh shrimp|multiple payment options|online ordering|group-friendly,fried food not recommended|weekend waiting|reservation recommended,friends gathering|group meal|casual lunch,NT$400-600,weekend wait can exceed 1 hour,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r004_03,r004,Second Floor 貳樓公館店,顧客因朋友推薦來用餐，但兩次體驗都不理想。蕃茄蔬菜湯過酸，入口刺激；曙光鮮蝦雞肉麵雖然蝦子大，但麵和雞肉都偏乾。顧客仍肯定店內氣氛好、適合拍照，燻鮭魚和麵包也好吃，但其他餐點需要再考慮。,mixed,蕃茄蔬菜湯|曙光鮮蝦雞肉麵|鮮蝦|雞肉|燻鮭魚|麵包,good atmosphere|photogenic|fresh large shrimp|good smoked salmon|good bread,soup too sour|pasta too dry|chicken too dry|food quality inconsistent,date|friends gathering|photo-friendly meal,unknown,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r004_04,r004,Second Floor 貳樓公館店,顧客認為貳樓是適合聚餐的愛店，習慣事先訂位。店內有親子優惠活動，週二下午兩點後大人點主餐，12歲以下兒童可享免費特製兒童餐。厚烤奶油 Ham 三明治、焗厚切豬排奶油飯與兒童餐都被稱讚，服務親切，親子與寵物友善，用餐時間充足，適合和朋友聊天。,positive,厚烤奶油 Ham 三明治|焗厚切豬排奶油飯|森森奶油起司飯|美式咖啡|牛奶,family-friendly|kid-friendly|pet-friendly|friendly service|group-friendly|child meal promotion|good for chatting|unlimited drinks|worth revisiting,reservation recommended|popular restaurant,family gathering|friends gathering|kid-friendly dinner|pet-friendly meal|casual dinner,NT$400-600,no wait with reservation,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r004_05,r004,Second Floor 貳樓公館店,顧客大力稱讚店家的親子友善服務。訂位時店家知道有兩個月大的嬰兒同行，主動安排適合放推車的一樓寬敞座位；看到顧客拿奶瓶準備去洗手間降溫，也主動提供冰水協助。整體服務貼心，適合帶嬰幼兒用餐。,positive,brunch,very kid-friendly|baby-stroller friendly|spacious first-floor seating|thoughtful service|friendly staff|family-friendly,wait may be 10-30 minutes|reservation depends on date and time,family brunch|kid-friendly meal|baby-friendly meal,NT$400-600,10-30 minutes,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r005_01,r005,JJ's POKE & CAFE 鮮魚沙拉飯,顧客很喜歡這家的 POK? 沙拉飯，認為店內環境乾淨舒服，帶有放鬆的度假感。配料選擇多，可以自由搭配蔬菜、蛋白質與醬料，適合正在調整飲食但又想吃得開心的人。鮮蝦沙拉飯中的鮮蝦新鮮，花椰菜、毛豆與紫甘藍口感爽脆，魚卵與莎莎醬也讓整體更清爽開胃。,positive,鮮蝦沙拉飯|鮮蝦|花椰菜|毛豆|紫甘藍|魚卵|莎莎醬,healthy|fresh shrimp|clean environment|relaxing vibe|customizable bowl|refreshing|filling|good for diet control,none,healthy lunch|solo meal|light meal|post-workout meal,NT$200-400,no wait,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r005_02,r005,JJ's POKE & CAFE 鮮魚沙拉飯,顧客第一次嘗試沙拉飯，點了牛肉丸沙拉飯，覺得外觀看起來漂亮、味道不錯，醬汁能滲入白飯增加風味。不過整體偏冷食，對不習慣冷食飯類的人來說可能較不適應。,mixed,牛肉丸沙拉飯,photogenic bowl|good flavor|sauce works well with rice,cold food may not suit everyone|parking inconvenient,casual lunch|solo meal|light meal,NT$100-200,no wait,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r005_03,r005,JJ's POKE & CAFE 鮮魚沙拉飯,顧客因朋友推薦前來，認為沙拉飯份量很多且好吃。主食可選生菜與白飯各半，飯量可調整，搭配玉米、花椰菜、海帶芽、豆腐、烤雞與胡麻醬。環境乾淨、座位多，整體體驗佳，也希望未來能增加醋飯選項。,positive,烤雞沙拉飯|玉米|花椰菜|海帶芽|豆腐|烤雞|胡麻醬,large portion|customizable rice amount|clean environment|many seats|good grilled chicken|good sesame sauce|good value,no vinegar rice option,healthy lunch|solo meal|casual meal|post-workout meal,NT$100-200,no wait,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r005_04,r005,JJ's POKE & CAFE 鮮魚沙拉飯,顧客提醒尖峰時段人較多，內用建議先找座位再排隊點餐。鮮蝦沙拉飯價格165元，份量大，鮮蝦約5隻且口感紮實有彈性，莎莎醬也被稱讚。缺點是自選配菜種類偏少，且多為南瓜、玉米等澱粉類。店內支援 Line Pay 和載具，座位多，餐後自助回收碗盤並有洗手台。,mixed,鮮蝦沙拉飯|鮮蝦|莎莎醬|南瓜|玉米,large portion|firm shrimp|good salsa sauce|Line Pay available|receipt carrier available|many seats|self-service cleanup|wash basin available,crowded during peak time|limited toppings|starch-heavy toppings|slightly pricier than nearby alternatives,healthy dinner|solo meal|quick meal|casual dinner,NT$100-200,no wait but crowded during peak time,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r005_05,r005,JJ's POKE & CAFE 鮮魚沙拉飯,顧客表示人潮很多，內用要先找位置再選餐，點餐前可先看網路上的餐點指引以加快速度。雖然尖峰時段忙碌，但店員通常會耐心回答問題，翻桌率高，稍等一下通常會有位置；不想等的人也適合外帶。,positive,takeout,fast turnover|patient staff|takeout-friendly|many customers|efficient ordering if prepared,crowded during peak time|ordering may feel rushed when busy,quick dinner|solo meal|takeout|healthy meal,NT$100-200,short wait due to fast turnover,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r006_01,r006,壽司郎 台北公館店,顧客認為壽司種類和品項很多，容易找到想吃的餐點。天婦羅握壽司中的炸魚或花枝酥脆香口，表現很好。不過新嘗試的烏龍麵較普通，麵量偏少；明太子與秋葵的搭配也讓顧客覺得風味有些奇怪。,mixed,天婦羅握壽司|炸魚|花枝|烏龍麵|明太子|秋葵,variety of sushi|crispy tempura|good fried seafood|many choices,udon is average|small noodle portion|flavor combination can be strange,casual dinner|sushi craving|friends gathering,NT$400-600,depends on date and time,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r006_02,r006,壽司郎 台北公館店,顧客認為整體用餐體驗不錯，壽司魚料新鮮度穩定，口味清爽，是想吃平價迴轉壽司時的方便選擇。不過相較其他壽司店，飯量與整體份量偏小，精緻但飽足感略不足。拉麵表現普通，較像附加品項。店內不定期推出期間限定或特別菜單，值得嘗試。,positive,壽司|拉麵|期間限定壽司,stable quality|fresh fish|clean flavor|reasonable price|limited-time menu|convenient sushi option,small portion|less filling|ramen is average,casual dinner|solo meal|quick sushi meal,NT$200-400,no wait,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r006_03,r006,壽司郎 台北公館店,顧客提到店面位於捷運公館站一號出口附近，交通方便，但因靠近台大與師大，用餐時間人潮很多，候位區不大，會覺得擁擠，建議提早到或先訂位。餐點方面，鮭魚與魚類處理表現佳，特別推薦生鮭魚壽司；但貝類、鮭魚卵與海膽表現較普通。沙拉聖代偏酸但份量較少。,positive,生鮭魚壽司|鮭魚|魚類壽司|貝類|鮭魚卵|海膽|沙拉聖代,convenient location|good salmon|good fish quality|recommended salmon sushi|fun plate variety,crowded during meal time|small waiting area|reservation recommended|some seafood items average|small dessert portion,casual dinner|friends gathering|sushi craving,NT$400-600,crowded during meal time,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r006_04,r006,壽司郎 台北公館店,顧客整體喜歡這家店，認為新出的流心巧克力不錯，但建議在客人較少時點會比較好吃。蟹肉表現普通，鮪魚大腹被稱讚很好吃；海膽品質不穩，單吃不推薦，搭配紫蘇會比較能接受。,mixed,流心巧克力|蟹肉|鮪魚大腹|海膽|紫蘇,good fatty tuna|good chocolate dessert|some items are enjoyable,crab is average|sea urchin quality inconsistent|better when less busy,casual meal|sushi craving|limited-time menu tryout,unknown,better during less busy hours,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r006_05,r006,壽司郎 台北公館店,顧客週六用餐時人潮頗多，但很幸運很快有位置。店內用餐限時一小時，需要有效率地點餐。盤子顏色越來越多，部分品項有調漲。候位區較小，但廁所空間寬敞。,mixed,壽司,quick seating if lucky|wide restroom|fun plate variety,crowded on weekends|one-hour dining limit|small waiting area|some price increase|need efficient ordering,casual dinner|quick sushi meal|friends gathering,NT$400-600,reservation recommended on weekends,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r007_01,r007,鳳城燒臘粵菜,顧客稱讚可以用 Line 預約取餐很方便，燒肉飯好吃，若加蛋會更完整。蝦仁炒飯、滑蛋豬肉也受到家人好評。更新後到店內用餐仍然滿意，店內有免費茶水，上菜速度快，高麗菜炒得很香。,positive,燒肉飯|蝦仁炒飯|滑蛋豬肉|高麗菜,Line pre-order|good roast pork rice|fast serving|free tea|good stir-fried cabbage|family-approved dishes,none,takeout|quick meal|family meal|casual lunch|casual dinner,reasonable,fast serving,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r007_02,r007,鳳城燒臘粵菜,顧客認為鳳城是老派但有記憶點的燒臘強店。雖然曾遇到冷飯，但店員很快更換熱飯並補醬汁。燒鴨皮亮、肉有水分，搭配偏甜醬汁非常下飯；三寶飯視覺和份量都滿足。不過吃到後面可能略膩，環境不用期待太多，重點是快速、直接、吃得飽的燒臘爽感。,positive,燒鴨|三寶飯|燒臘|熱茶,classic roast meat|good roast duck|moist meat|rich aroma|fast correction by staff|free tea|filling meal|strong Cantonese flavor,can feel greasy|simple environment|cold rice issue,solo meal|friends meal|quick dinner|meat craving|casual meal,reasonable,no wait,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r007_03,r007,鳳城燒臘粵菜,顧客平日傍晚到店時已經八成滿，內用可能需要併桌。不過上菜速度快，三寶飯肉量充足，雞腿很嫩，咕咾肉也很好吃；三鮮燴飯則較普通。整體適合想快速吃到份量足燒臘的人。,positive,三寶飯|雞腿|咕咾肉|三鮮燴飯,large meat portion|fast serving|tender chicken leg|good sweet and sour pork|filling meal,crowded during meal time|shared table likely|some dishes average,student meal|quick dinner|solo meal|casual meal,reasonable,within 10 minutes,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r007_04,r007,鳳城燒臘粵菜,顧客認為這是老字號燒臘店，菜色選擇多，也很適合外帶。店內有免費茶水但需自取，內用桌上可掃碼點餐，用餐完再到櫃檯結帳。付款方式較傳統，評論提到僅能使用現金。,neutral,燒臘|茶水,old-school Cantonese|many menu choices|takeout-friendly|free tea|QR code ordering,"cash only|simple service|self-service tea""",takeout|quick lunch|casual meal|solo meal,reasonable,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
